"fiscal_year","federal_debt","federal_debt_url","federal_debt_url_name","gdp","gdp_url","gdp_url_name","debt_gdp"
2001,5807463000000,"https://fiscaldata.treasury.gov/datasets/monthly-statement-public-debt/summary-of-treasury-securities-outstanding","Monthly Statement of the Public Debt",10526500000000,"https://apps.bea.gov/iTable/index_nipa.cfm","Bureau of Economic Analysis",55.169933026172
2002,6228236000000,"https://fiscaldata.treasury.gov/datasets/monthly-statement-public-debt/summary-of-treasury-securities-outstanding","Monthly Statement of the Public Debt",10833650000000,"https://apps.bea.gov/iTable/index_nipa.cfm","Bureau of Economic Analysis",57.4897287617747
2003,6783231000000,"https://fiscaldata.treasury.gov/datasets/monthly-statement-public-debt/summary-of-treasury-securities-outstanding","Monthly Statement of the Public Debt",11283800000000,"https://apps.bea.gov/iTable/index_nipa.cfm","Bureau of Economic Analysis",60.114775164395
2004,7379053000000,"https://fiscaldata.treasury.gov/datasets/monthly-statement-public-debt/summary-of-treasury-securities-outstanding","Monthly Statement of the Public Debt",12025450000000,"https://apps.bea.gov/iTable/index_nipa.cfm","Bureau of Economic Analysis",61.3619698223351
2005,7932710000000,"https://fiscaldata.treasury.gov/datasets/monthly-statement-public-debt/summary-of-treasury-securities-outstanding","Monthly Statement of the Public Debt",12834150000000,"https://apps.bea.gov/iTable/index_nipa.cfm","Bureau of Economic Analysis",61.8093913504206
2006,8506974000000,"https://fiscaldata.treasury.gov/datasets/monthly-statement-public-debt/summary-of-treasury-securities-outstanding","Monthly Statement of the Public Debt",13638375000000,"https://apps.bea.gov/iTable/index_nipa.cfm","Bureau of Economic Analysis",62.3752756468421
2007,9007653000000,"https://fiscaldata.treasury.gov/datasets/monthly-statement-public-debt/summary-of-treasury-securities-outstanding","Monthly Statement of the Public Debt",14290800000000,"https://apps.bea.gov/iTable/index_nipa.cfm","Bureau of Economic Analysis",63.0311319170375
2008,10024725000000,"https://fiscaldata.treasury.gov/datasets/monthly-statement-public-debt/summary-of-treasury-securities-outstanding","Monthly Statement of the Public Debt",14743325000000,"https://apps.bea.gov/iTable/index_nipa.cfm","Bureau of Economic Analysis",67.9950079103594
2009,11909829000000,"https://fiscaldata.treasury.gov/datasets/monthly-statement-public-debt/summary-of-treasury-securities-outstanding","Monthly Statement of the Public Debt",14431800000000,"https://apps.bea.gov/iTable/index_nipa.cfm","Bureau of Economic Analysis",82.5249033384609
2010,13561623000000,"https://fiscaldata.treasury.gov/datasets/monthly-statement-public-debt/summary-of-treasury-securities-outstanding","Monthly Statement of the Public Debt",14838850000000,"https://apps.bea.gov/iTable/index_nipa.cfm","Bureau of Economic Analysis",91.3926820474633
2011,14790340000000,"https://fiscaldata.treasury.gov/datasets/monthly-statement-public-debt/summary-of-treasury-securities-outstanding","Monthly Statement of the Public Debt",15403675000000,"https://apps.bea.gov/iTable/index_nipa.cfm","Bureau of Economic Analysis",96.0182553838613
2012,16066241000000,"https://fiscaldata.treasury.gov/datasets/monthly-statement-public-debt/summary-of-treasury-securities-outstanding","Monthly Statement of the Public Debt",16056450000000,"https://apps.bea.gov/iTable/index_nipa.cfm","Bureau of Economic Analysis",100.060978609842
2013,16738184000000,"https://fiscaldata.treasury.gov/datasets/monthly-statement-public-debt/summary-of-treasury-securities-outstanding","Monthly Statement of the Public Debt",16603775000000,"https://apps.bea.gov/iTable/index_nipa.cfm","Bureau of Economic Analysis",100.809508681008
2014,17824071000000,"https://fiscaldata.treasury.gov/datasets/monthly-statement-public-debt/summary-of-treasury-securities-outstanding","Monthly Statement of the Public Debt",17335575000000,"https://apps.bea.gov/iTable/index_nipa.cfm","Bureau of Economic Analysis",102.817881725873
2015,18150618000000,"https://fiscaldata.treasury.gov/datasets/monthly-statement-public-debt/summary-of-treasury-securities-outstanding","Monthly Statement of the Public Debt",18106075000000,"https://apps.bea.gov/iTable/index_nipa.cfm","Bureau of Economic Analysis",100.246011352543
2016,19573445000000,"https://fiscaldata.treasury.gov/datasets/monthly-statement-public-debt/summary-of-treasury-securities-outstanding","Monthly Statement of the Public Debt",18581650000000,"https://apps.bea.gov/iTable/index_nipa.cfm","Bureau of Economic Analysis",105.337496939185
2017,20244900000000,"https://fiscaldata.treasury.gov/datasets/monthly-statement-public-debt/summary-of-treasury-securities-outstanding","Monthly Statement of the Public Debt",19316625000000,"https://apps.bea.gov/iTable/index_nipa.cfm","Bureau of Economic Analysis",104.805575508144
2018,21516058000000,"https://fiscaldata.treasury.gov/datasets/monthly-statement-public-debt/summary-of-treasury-securities-outstanding","Monthly Statement of the Public Debt",20368899999999,"https://apps.bea.gov/iTable/index_nipa.cfm","Bureau of Economic Analysis",105.631909430553
2019,22719402000000,"https://fiscaldata.treasury.gov/datasets/monthly-statement-public-debt/summary-of-treasury-securities-outstanding","Monthly Statement of the Public Debt",21223850000000,"https://apps.bea.gov/iTable/index_nipa.cfm","Bureau of Economic Analysis",107.046563182457
2020,26945391000000,"https://fiscaldata.treasury.gov/datasets/monthly-statement-public-debt/summary-of-treasury-securities-outstanding","Monthly Statement of the Public Debt",20996550000000,"https://apps.bea.gov/iTable/index_nipa.cfm","Bureau of Economic Analysis",128.332468905606
2021,28428919110000,"https://fiscaldata.treasury.gov/datasets/monthly-statement-public-debt/summary-of-treasury-securities-outstanding","Monthly Statement of the Public Debt",22388200000000,"https://www.whitehouse.gov/wp-content/uploads/2021/08/msr_fy22.pdf","2022 Mid-Session Review",126.981709605953
